District ID,District Name,School Year,Number of Students Tested,Literacy Skills (%) Level 1,Literacy Skills (%) Level 2,Literacy Skills (%) Level 3
288,Achievement First Hartford Academy Inc.,2011-12,89,7.9,70.8,21.3
001,Andover School District,2011-12,35,17.1,51.4,31.4
002,Ansonia School District,2011-12,172,20.3,48.8,30.8
244,Area Cooperative Educational Services,2011-12,60,20,35,45
003,Ashford School District,2011-12,56,14.3,35.7,50
004,Avon School District,2011-12,165,10.3,36.4,53.3
005,Barkhamsted School District,2011-12,42,11.9,35.7,52.4
007,Berlin School District,2011-12,153,22.9,34,43.1
008,Bethany School District,2011-12,46,28.3,37,34.8
009,Bethel School District,2011-12,199,14.1,39.7,46.2
011,Bloomfield School District,2011-12,182,21.4,45.1,33.5
012,Bolton School District,2011-12,43,25.6,27.9,46.5
013,Bozrah School District,2011-12,20,25,30,45
014,Branford School District,2011-12,208,18.3,46.6,35.1
015,Bridgeport School District,2011-12,1833,27.9,38.7,33.3
017,Bristol School District,2011-12,562,24.9,35.8,39.3
018,Brookfield School District,2011-12,179,20.7,29.6,49.7
019,Brooklyn School District,2011-12,72,23.6,47.2,29.2
021,Canaan School District,2011-12,6,16.7,16.7,66.7
022,Canterbury School District,2011-12,43,18.6,32.6,48.8
023,Canton School District,2011-12,108,14.8,36.1,49.1
241,Capitol Region Education Council,2011-12,363,16.3,34.7,49
024,Chaplin School District,2011-12,26,7.7,46.2,46.2
025,Cheshire School District,2011-12,263,3,13.3,83.7
026,Chester School District,2011-12,31,12.9,77.4,9.7
027,Clinton School District,2011-12,150,20.7,36,43.3
028,Colchester School District,2011-12,179,18.4,34.6,46.9
029,Colebrook School District,2011-12,8,25,25,50
030,Columbia School District,2011-12,46,19.6,30.4,50
243,Cooperative Educational Services,2011-12,59,8.5,25.4,66.1
031,Cornwall School District,2011-12,7,28.6,14.3,57.1
032,Coventry School District,2011-12,123,19.5,50.4,30.1
033,Cromwell School District,2011-12,140,13.6,40,46.4
034,Danbury School District,2011-12,864,34.7,42.9,22.3
035,Darien School District,2011-12,368,9.2,26.4,64.4
036,Deep River School District,2011-12,55,43.6,56.4,0
037,Derby School District,2011-12,122,22.1,36.9,41
040,East Granby School District,2011-12,34,23.5,23.5,52.9
041,East Haddam School District,2011-12,76,15.8,38.2,46.1
042,East Hampton School District,2011-12,157,22.9,45.9,31.2
043,East Hartford School District,2011-12,545,27,42.6,30.5
044,East Haven School District,2011-12,232,23.7,42.2,34.1
045,East Lyme School District,2011-12,145,29,47.6,23.4
047,East Windsor School District,2011-12,101,23.8,34.7,41.6
039,Eastford School District,2011-12,13,30.8,23.1,46.2
046,Easton School District,2011-12,90,24.4,61.1,14.4
048,Ellington School District,2011-12,185,16.8,24.3,58.9
289,Elm City College Preparatory School,2011-12,62,12.9,58.1,29
049,Enfield School District,2011-12,345,22,48.4,29.6
050,Essex School District,2011-12,48,12.5,43.8,43.8
051,Fairfield School District,2011-12,731,13,45.3,41.7
052,Farmington School District,2011-12,253,12.6,22.5,64.8
