District ID,District Name,School Year,Number of Students Tested,Literacy Skills (%) Level 1,Literacy Skills (%) Level 2,Literacy Skills (%) Level 3
053,Franklin School District,2011-12,15,13.3,33.3,53.3
054,Glastonbury School District,2011-12,379,17.4,42,40.6
056,Granby School District,2011-12,111,7.2,20.7,72.1
057,Greenwich School District,2011-12,568,7.9,31.5,60.6
058,Griswold School District,2011-12,137,21.2,60.6,18.2
059,Groton School District,2011-12,487,29.2,40.5,30.4
060,Guilford School District,2011-12,222,6.8,20.7,72.5
062,Hamden School District,2011-12,435,23,37,40
063,Hampton School District,2011-12,14,7.1,71.4,21.4
064,Hartford School District,2011-12,1766,36.6,37.9,25.5
065,Hartland School District,2011-12,19,26.3,31.6,42.1
067,Hebron School District,2011-12,119,14.3,43.7,42
264,Integrated Day Charter School District,2011-12,33,21.2,39.4,39.4
261,Jumoke Academy District,2011-12,47,31.9,46.8,21.3
068,Kent School District,2011-12,30,23.3,43.3,33.3
069,Killingly School District,2011-12,185,31.9,42.7,25.4
245,Learn,2011-12,255,20,38,42
071,Lebanon School District,2011-12,70,24.3,65.7,10
072,Ledyard School District,2011-12,172,26.2,33.7,40.1
073,Lisbon School District,2011-12,27,11.1,7.4,81.5
074,Litchfield School District,2011-12,74,23,59.5,17.6
076,Madison School District,2011-12,142,16.2,45.8,38
077,Manchester School District,2011-12,494,38.3,47,14.8
078,Mansfield School District,2011-12,135,17,40.7,42.2
079,Marlborough School District,2011-12,91,12.1,26.4,61.5
080,Meriden School District,2011-12,651,34.3,34.6,31.2
083,Middletown School District,2011-12,419,27.2,39.6,33.2
084,Milford School District,2011-12,427,12.9,26,61.1
085,Monroe School District,2011-12,168,11.3,38.1,50.6
086,Montville School District,2011-12,136,15.4,28.7,55.9
088,Naugatuck School District,2011-12,356,24.2,47.8,28.1
280,"New Beginnings Inc., Family Academy District",2011-12,43,20.9,46.5,32.6
089,New Britain School District,2011-12,879,33.1,36.6,30.3
090,New Canaan School District,2011-12,271,15.1,44.3,40.6
091,New Fairfield School District,2011-12,172,22.1,50.6,27.3
092,New Hartford School District,2011-12,76,15.8,57.9,26.3
093,New Haven School District,2011-12,1802,32,43.2,24.8
095,New London School District,2011-12,153,36.6,45.1,18.3
096,New Milford School District,2011-12,310,19,41.9,39
094,Newington School District,2011-12,300,17.7,43.7,38.7
097,Newtown School District,2011-12,272,6.6,30.9,62.5
098,Norfolk School District,2011-12,20,20,60,20
099,North Branford School District,2011-12,143,16.8,32.2,51
100,North Canaan School District,2011-12,28,10.7,42.9,46.4
101,North Haven School District,2011-12,207,17.9,44.9,37.2
102,North Stonington School District,2011-12,45,0,13.3,86.7
103,Norwalk School District,2011-12,948,28.6,41.6,29.9
104,Norwich School District,2011-12,367,28.3,52.3,19.3
106,Old Saybrook School District,2011-12,82,14.6,20.7,64.6
107,Orange School District,2011-12,146,6.8,27.4,65.8
108,Oxford School District,2011-12,132,6.8,18.9,74.2
110,Plainville School District,2011-12,157,25.5,47.8,26.8
111,Plymouth School District,2011-12,104,25,31.7,43.3
112,Pomfret School District,2011-12,30,23.3,33.3,43.3
113,Portland School District,2011-12,81,32.1,55.6,12.3
114,Preston School District,2011-12,37,16.2,51.4,32.4
116,Putnam School District,2011-12,92,28.3,28.3,43.5
117,Redding School District,2011-12,84,19,44,36.9
206,Regional School District 06,2011-12,34,5.9,38.2,55.9
210,Regional School District 10,2011-12,154,9.1,27.3,63.6
212,Regional School District 12,2011-12,51,21.6,27.5,51
213,Regional School District 13,2011-12,101,17.8,48.5,33.7
214,Regional School District 14,2011-12,101,15.8,27.7,56.4
215,Regional School District 15,2011-12,250,11.6,51.2,37.2
216,Regional School District 16,2011-12,179,17.9,52.5,29.6
217,Regional School District 17,2011-12,165,9.7,38.2,52.1
218,Regional School District 18,2011-12,83,12,26.5,61.4
118,Ridgefield School District,2011-12,270,4.8,21.9,73.3
119,Rocky Hill School District,2011-12,149,13.4,20.8,65.8
121,Salem School District,2011-12,37,10.8,13.5,75.7
122,Salisbury School District,2011-12,34,23.5,20.6,55.9
123,Scotland School District,2011-12,20,20,45,35
124,Seymour School District,2011-12,134,12.7,39.6,47.8
125,Sharon School District,2011-12,16,43.8,18.8,37.5
126,Shelton School District,2011-12,329,18.8,38.9,42.2
127,Sherman School District,2011-12,40,10,30,60
270,Side By Side Charter School District,2011-12,20,5,35,60
128,Simsbury School District,2011-12,225,8.4,37.8,53.8
129,Somers School District,2011-12,100,11,34,55
132,South Windsor School District,2011-12,217,10.6,37.3,52.1
131,Southington School District,2011-12,416,19.2,48.6,32.2
133,Sprague School District,2011-12,34,17.6,20.6,61.8
134,Stafford School District,2011-12,130,15.4,43.1,41.5
135,Stamford School District,2011-12,1393,25.8,40.4,33.8
136,Sterling School District,2011-12,37,24.3,59.5,16.2
137,Stonington School District,2011-12,150,22,27.3,50.7
138,Stratford School District,2011-12,532,21.4,34.8,43.8
139,Suffield School District,2011-12,138,16.7,43.5,39.9
140,Thomaston School District,2011-12,68,19.1,36.8,44.1
141,Thompson School District,2011-12,76,15.8,43.4,40.8
142,Tolland School District,2011-12,168,13.7,54.8,31.5
143,Torrington School District,2011-12,361,38.8,35.5,25.8
144,Trumbull School District,2011-12,415,13,36.4,50.6
146,Vernon School District,2011-12,285,24.2,41.1,34.7
147,Voluntown School District,2011-12,34,11.8,29.4,58.8
148,Wallingford School District,2011-12,357,21,35.9,43.1
151,Waterbury School District,2011-12,1594,33.7,44.5,21.8
152,Waterford School District,2011-12,113,23,53.1,23.9
153,Watertown School District,2011-12,198,10.1,31.3,58.6
155,West Hartford School District,2011-12,699,18.9,38.3,42.8
156,West Haven School District,2011-12,493,41.6,39.6,18.9
154,Westbrook School District,2011-12,53,20.8,30.2,49.1
157,Weston School District,2011-12,161,15.5,42.2,42.2
158,Westport School District,2011-12,354,13.8,41.2,44.9
159,Wethersfield School District,2011-12,207,21.3,51.7,27.1
160,Willington School District,2011-12,47,10.6,34,55.3
161,Wilton School District,2011-12,272,2.9,9.2,87.9
162,Winchester School District,2011-12,82,39,58.5,2.4
163,Windham School District,2011-12,276,39.9,38.4,21.7
165,Windsor Locks School District,2011-12,107,23.4,47.7,29
164,Windsor School District,2011-12,201,30.3,39.3,30.3
166,Wolcott School District,2011-12,133,23.3,42.1,34.6
167,Woodbridge School District,2011-12,94,34,50,16
