,,Literacy Skills (%),,,,,
DistrictName,Number of Students Tested,Level 1,Level 2,Level 3,,,
Andover School District,28,21.4,46.4,32.1,,,
Ansonia School District,171,19.3,33.9,46.8,,,
Ashford School District,36,13.9,41.7,44.4,,,
Avon School District,173,6.4,34.7,59.0,,,
Barkhamsted School District,36,5.6,25.0,69.4,,,
Berlin School District,170,16.5,41.8,41.8,,,
Bethany School District,59,35.6,20.3,44.1,,,
Bethel School District,231,12.6,44.2,43.3,,,
Bloomfield School District,186,30.1,36.6,33.3,,,
Bolton School District,47,14.9,29.8,55.3,,,
Bozrah School District,25,28.0,48.0,24.0,,,
Branford School District,223,18.4,40.4,41.3,,,
Bridgeport School District,1828,26.3,41.4,32.4,,,
Bristol School District,579,24.7,41.1,34.2,,,
Brookfield School District,176,29.0,36.4,34.7,,,
Brooklyn School District,81,30.9,32.1,37.0,,,
Canaan School District,7,14.3,71.4,14.3,,,
Canterbury School District,43,20.9,27.9,51.2,,,
Canton School District,112,14.3,26.8,58.9,,,
Chaplin School District,27,7.4,48.1,44.4,,,
Cheshire School District,235,4.3,18.7,77.0,,,
Chester School District,32,28.1,40.6,31.3,,,
Clinton School District,130,18.5,36.2,45.4,,,
Colchester School District,170,14.1,61.2,24.7,,,
Colebrook School District,16,18.8,56.3,25.0,,,
Columbia School District,42,26.2,40.5,33.3,,,
Cornwall School District,12,8.3,16.7,75.0,,,
Coventry School District,124,12.9,38.7,48.4,,,
Cromwell School District,149,13.4,38.9,47.7,,,
Danbury School District,823,28.1,43.0,28.9,,,
Darien School District,189,9.5,27.5,63.0,,,
Deep River School District,46,21.7,65.2,13.0,,,
Derby School District,109,28.4,33.0,38.5,,,
Eastford School District,18,33.3,33.3,33.3,,,
East Granby School District,58,6.9,17.2,75.9,,,
East Haddam School District,77,16.9,55.8,27.3,,,
East Hampton School District,155,14.2,39.4,46.5,,,
East Hartford School District,524,29.8,42.9,27.3,,,
East Haven School District,225,27.6,35.1,37.3,,,
East Lyme School District,107,18.7,49.5,31.8,,,
Easton School District,85,10.6,43.5,45.9,,,
East Windsor School District,103,34.0,47.6,18.4,,,
Ellington School District,181,14.4,19.3,66.3,,,
Enfield School District,386,14.0,45.3,40.7,,,
Essex School District,48,20.8,45.8,33.3,,,
Fairfield School District,679,10.0,33.4,56.6,,,
Farmington School District,232,10.8,31.9,57.3,,,
Franklin School District,20,25.0,45.0,30.0,,,
Glastonbury School District,400,14.3,30.3,55.5,,,
Granby School District,112,4.5,11.6,83.9,,,
Greenwich School District,572,11.0,34.4,54.5,,,
Griswold School District,144,26.4,38.2,35.4,,,
Groton School District,448,33.7,42.0,24.3,,,
Guilford School District,223,7.2,25.6,67.3,,,
Hamden School District,379,34.8,36.9,28.2,,,
Hampton School District,19,5.3,31.6,63.2,,,
Hartford School District,1758,33.4,41.3,25.3,,,
Hartland School District,16,12.5,12.5,75.0,,,
Hebron School District,90,7.8,18.9,73.3,,,
Kent School District,25,20.0,28.0,52.0,,,
Killingly School District,172,31.4,43.0,25.6,,,
