District ID,District Name,School Year,Number of Students Tested,Personal/Social Skills (%) Level 1,Personal/Social Skills (%) Level 2,Personal/Social Skills (%) Level 3
288,Achievement First Hartford Academy Inc.,2008-09,84,13.1,48.8,38.1
279,Amistad Academy District,2008-09,85,8.2,40,51.8
1,Andover School District,2008-09,42,14.3,35.7,50
2,Ansonia School District,2008-09,222,10.8,28.8,60.4
244,Area Cooperative Educational Services,2008-09,60,5,45,50
3,Ashford School District,2008-09,48,12.5,41.7,45.8
4,Avon School District,2008-09,215,13,35.3,51.6
5,Barkhamsted School District,2008-09,57,5.3,36.8,57.9
7,Berlin School District,2008-09,234,4.3,29.9,65.8
8,Bethany School District,2008-09,70,17.1,41.4,41.4
9,Bethel School District,2008-09,206,5.8,31.6,62.6
11,Bloomfield School District,2008-09,125,34.4,47.2,18.4
12,Bolton School District,2008-09,48,22.9,54.2,22.9
13,Bozrah School District,2008-09,22,27.3,54.5,18.2
14,Branford School District,2008-09,218,11.9,50.9,37.2
15,Bridgeport School District,2008-09,1666,23.3,45.1,31.5
17,Bristol School District,2008-09,620,11.8,38.7,49.5
18,Brookfield School District,2008-09,191,12,39.8,48.2
19,Brooklyn School District,2008-09,79,3.8,29.1,67.1
21,Canaan School District,2008-09,9,22.2,33.3,44.4
22,Canterbury School District,2008-09,60,21.7,50,28.3
23,Canton School District,2008-09,135,8.1,36.3,55.6
241,Capitol Region Education Council,2008-09,158,11.4,38.6,50
24,Chaplin School District,2008-09,22,13.6,31.8,54.5
287,Charter School for Young Children on Asylum Hill,2008-09,31,41.9,22.6,35.5
25,Cheshire School District,2008-09,298,17.1,54,28.9
26,Chester School District,2008-09,32,3.1,37.5,59.4
27,Clinton School District,2008-09,152,19.1,63.2,17.8
28,Colchester School District,2008-09,202,9.9,44.6,45.5
29,Colebrook School District,2008-09,16,12.5,62.5,25
30,Columbia School District,2008-09,50,12,36,52
243,Cooperative Educational Services,2008-09,37,5.4,32.4,62.2
31,Cornwall School District,2008-09,12,16.7,58.3,25
32,Coventry School District,2008-09,134,3,35.8,61.2
33,Cromwell School District,2008-09,151,9.3,33.1,57.6
34,Danbury School District,2008-09,871,27.6,49.1,23.3
35,Darien School District,2008-09,362,5,19.3,75.7
36,Deep River School District,2008-09,39,10.3,82.1,7.7
37,Derby School District,2008-09,128,8.6,43,48.4
40,East Granby School District,2008-09,63,6.3,28.6,65.1
41,East Haddam School District,2008-09,101,6.9,57.4,35.6
42,East Hampton School District,2008-09,147,20.4,55.1,24.5
43,East Hartford School District,2008-09,481,19.3,48.9,31.8
44,East Haven School District,2008-09,225,13.3,48.4,38.2
45,East Lyme School District,2008-09,181,14.4,39.2,46.4
47,East Windsor School District,2008-09,101,9.9,25.7,64.4
39,Eastford School District,2008-09,13,0,69.2,30.8
46,Easton School District,2008-09,98,8.2,81.6,10.2
48,Ellington School District,2008-09,188,5.9,14.4,79.8
49,Enfield School District,2008-09,438,16.4,37.7,45.9
50,Essex School District,2008-09,70,8.6,41.4,50
51,Fairfield School District,2008-09,781,14.9,43.4,41.7
52,Farmington School District,2008-09,286,2.1,23.1,74.8
53,Franklin School District,2008-09,19,31.6,31.6,36.8
54,Glastonbury School District,2008-09,456,16.2,34.4,49.3
56,Granby School District,2008-09,141,2.8,19.9,77.3
57,Greenwich School District,2008-09,670,16.4,36.3,47.3
58,Griswold School District,2008-09,133,18,62.4,19.5
59,Groton School District,2008-09,471,21.2,38.4,40.3
60,Guilford School District,2008-09,256,15.2,45.3,39.5
62,Hamden School District,2008-09,434,22.1,43.3,34.6
63,Hampton School District,2008-09,14,21.4,50,28.6
64,Hartford School District,2008-09,1695,29.9,44.2,25.9
65,Hartland School District,2008-09,31,0,3.2,96.8
67,Hebron School District,2008-09,147,8.8,32.7,58.5
286,Highville Charter School District,2008-09,40,17.5,50,32.5
264,Integrated Day Charter School District,2008-09,34,17.6,52.9,29.4
261,Jumoke Academy District,2008-09,40,10,72.5,17.5
68,Kent School District,2008-09,39,5.1,15.4,79.5
69,Killingly School District,2008-09,195,11.3,40,48.7
245,Learn,2008-09,273,15.8,37.4,46.9
71,Lebanon School District,2008-09,88,21.6,69.3,9.1
72,Ledyard School District,2008-09,173,26,39.9,34.1
73,Lisbon School District,2008-09,50,8,34,58
74,Litchfield School District,2008-09,90,23.3,76.7,0
76,Madison School District,2008-09,200,7.5,67,25.5
77,Manchester School District,2008-09,526,29.5,51.7,18.8
78,Mansfield School District,2008-09,114,8.8,49.1,42.1
79,Marlborough School District,2008-09,98,9.2,45.9,44.9
80,Meriden School District,2008-09,660,27.3,46.1,26.7
83,Middletown School District,2008-09,498,22.7,46.8,30.5
84,Milford School District,2008-09,535,11.2,43,45.8
85,Monroe School District,2008-09,250,10.8,38.4,50.8
86,Montville School District,2008-09,176,12.5,31.8,55.7
88,Naugatuck School District,2008-09,338,14.2,47.3,38.5
280,"New Beginnings Inc., Family Academy District",2008-09,60,11.7,31.7,56.7
89,New Britain School District,2008-09,742,27.5,45.8,26.7
90,New Canaan School District,2008-09,314,8,51.6,40.4
91,New Fairfield School District,2008-09,176,13.1,29,58
92,New Hartford School District,2008-09,84,3.6,33.3,63.1
93,New Haven School District,2008-09,1566,24.5,49,26.4
95,New London School District,2008-09,239,13.8,39.3,46.9
96,New Milford School District,2008-09,333,17.1,45,37.8
94,Newington School District,2008-09,312,14.7,48.1,37.2
97,Newtown School District,2008-09,319,4.4,13.2,82.4
98,Norfolk School District,2008-09,11,18.2,18.2,63.6
99,North Branford School District,2008-09,167,23.4,38.3,38.3
100,North Canaan School District,2008-09,35,22.9,51.4,25.7
101,North Haven School District,2008-09,245,10.6,46.1,43.3
102,North Stonington School District,2008-09,62,29,61.3,9.7
103,Norwalk School District,2008-09,884,16.3,48.2,35.5
104,Norwich School District,2008-09,389,19.3,42.4,38.3
106,Old Saybrook School District,2008-09,99,7.1,29.3,63.6
107,Orange School District,2008-09,162,2.5,9.9,87.7
108,Oxford School District,2008-09,172,5.8,10.5,83.7
109,Plainfield School District,2008-09,172,20.3,57,22.7
110,Plainville School District,2008-09,161,12.4,61.5,26.1
111,Plymouth School District,2008-09,109,6.4,60.6,33
112,Pomfret School District,2008-09,56,5.4,60.7,33.9
113,Portland School District,2008-09,102,12.7,60.8,26.5
114,Preston School District,2008-09,51,9.8,62.7,27.5
116,Putnam School District,2008-09,97,27.8,33,39.2
117,Redding School District,2008-09,109,9.2,40.4,50.5
206,Regional School District 06,2008-09,46,2.2,17.4,80.4
210,Regional School District 10,2008-09,210,12.4,38.6,49
212,Regional School District 12,2008-09,59,3.4,8.5,88.1
213,Regional School District 13,2008-09,149,8.7,58.4,32.9
214,Regional School District 14,2008-09,118,10.2,50.8,39
215,Regional School District 15,2008-09,299,8.4,41.1,50.5
216,Regional School District 16,2008-09,197,8.1,47.2,44.7
217,Regional School District 17,2008-09,167,6.6,37.7,55.7
218,Regional School District 18,2008-09,95,9.5,43.2,47.4
118,Ridgefield School District,2008-09,330,6.7,25.5,67.9
119,Rocky Hill School District,2008-09,185,2.7,20.5,76.8
121,Salem School District,2008-09,44,6.8,18.2,75
122,Salisbury School District,2008-09,25,4,36,60
123,Scotland School District,2008-09,19,5.3,52.6,42.1
124,Seymour School District,2008-09,168,12.5,42.3,45.2
125,Sharon School District,2008-09,21,9.5,28.6,61.9
126,Shelton School District,2008-09,374,17.4,45.5,37.2
127,Sherman School District,2008-09,31,12.9,25.8,61.3
270,Side By Side Community School District,2008-09,22,18.2,31.8,50
128,Simsbury School District,2008-09,274,5.1,23.4,71.5
129,Somers School District,2008-09,96,7.3,31.3,61.5
132,South Windsor School District,2008-09,171,6.4,36.8,56.7
131,Southington School District,2008-09,489,25.6,53.6,20.9
133,Sprague School District,2008-09,38,26.3,31.6,42.1
134,Stafford School District,2008-09,121,9.9,26.4,63.6
135,Stamford School District,2008-09,1229,20.2,39.7,40.1
136,Sterling School District,2008-09,66,7.6,25.8,66.7
137,Stonington School District,2008-09,154,12.3,39.6,48.1
138,Stratford School District,2008-09,546,11.5,37,51.5
139,Suffield School District,2008-09,108,4.6,41.7,53.7
140,Thomaston School District,2008-09,93,5.4,32.3,62.4
141,Thompson School District,2008-09,83,9.6,48.2,42.2
142,Tolland School District,2008-09,211,17.5,60.7,21.8
143,Torrington School District,2008-09,349,12.6,41.5,45.8
144,Trumbull School District,2008-09,470,12.1,50,37.9
145,Union School District,2008-09,13,15.4,69.2,15.4
146,Vernon School District,2008-09,265,17.4,32.8,49.8
147,Voluntown School District,2008-09,28,0,39.3,60.7
148,Wallingford School District,2008-09,438,7.5,36.8,55.7
151,Waterbury School District,2008-09,1591,30.5,44.4,25
152,Waterford School District,2008-09,107,9.3,58.9,31.8
153,Watertown School District,2008-09,207,19.8,64.7,15.5
155,West Hartford School District,2008-09,760,17.4,49.1,33.6
156,West Haven School District,2008-09,472,18.9,33.7,47.5
154,Westbrook School District,2008-09,65,15.4,41.5,43.1
157,Weston School District,2008-09,166,8.4,43.4,48.2
158,Westport School District,2008-09,407,11.5,63.9,24.6
159,Wethersfield School District,2008-09,250,21.6,52.8,25.6
160,Willington School District,2008-09,56,10.7,48.2,41.1
161,Wilton School District,2008-09,325,3.1,25.5,71.4
162,Winchester School District,2008-09,91,35.2,47.3,17.6
163,Windham School District,2008-09,290,24.8,45.5,29.7
165,Windsor Locks School District,2008-09,134,14.2,59,26.9
164,Windsor School District,2008-09,193,19.2,33.2,47.7
166,Wolcott School District,2008-09,160,13.1,43.1,43.8
167,Woodbridge School District,2008-09,99,20.2,44.4,35.4
169,Woodstock School District,2008-09,88,17,28.4,54.5
,Statewide,,39738,16.91995823,42.59807992,40.47539635
