District ID,District Name,School Year,Number of Students Tested,Creative/Aesthetic Skills (%) Level 1,Creative/Aesthetic Skills (%) Level 2,Creative/Aesthetic Skills (%) Level 3
101,North Haven School District,2011-12,207,8.2,37.7,54.1
102,North Stonington School District,2011-12,45,0,0,100
103,Norwalk School District,2011-12,948,15.2,44.5,40.3
104,Norwich School District,2011-12,367,12.8,55,32.2
106,Old Saybrook School District,2011-12,82,1.2,11,87.8
107,Orange School District,2011-12,146,4.1,10.3,85.6
108,Oxford School District,2011-12,132,3.8,6.1,90.2
110,Plainville School District,2011-12,157,17.2,59.2,23.6
111,Plymouth School District,2011-12,104,2.9,44.2,52.9
112,Pomfret School District,2011-12,30,0,66.7,33.3
113,Portland School District,2011-12,81,11.1,72.8,16
114,Preston School District,2011-12,37,16.2,59.5,24.3
116,Putnam School District,2011-12,92,16.3,30.4,53.3
117,Redding School District,2011-12,84,1.2,46.4,52.4
206,Regional School District 06,2011-12,34,0,17.6,82.4
210,Regional School District 10,2011-12,154,19.5,29.2,51.3
212,Regional School District 12,2011-12,51,2,43.1,54.9
213,Regional School District 13,2011-12,101,3,31.7,65.3
214,Regional School District 14,2011-12,101,4,26.7,69.3
215,Regional School District 15,2011-12,250,3.2,28.4,68.4
216,Regional School District 16,2011-12,179,4.5,63.7,31.8
217,Regional School District 17,2011-12,165,3,43,53.9
218,Regional School District 18,2011-12,83,3.6,18.1,78.3
118,Ridgefield School District,2011-12,270,2.6,8.5,88.9
119,Rocky Hill School District,2011-12,149,6,26.8,67.1
121,Salem School District,2011-12,37,2.7,2.7,94.6
122,Salisbury School District,2011-12,34,14.7,8.8,76.5
123,Scotland School District,2011-12,20,15,60,25
124,Seymour School District,2011-12,134,6.7,32.1,61.2
125,Sharon School District,2011-12,16,31.3,31.3,37.5
126,Shelton School District,2011-12,329,9.1,36.2,54.7
127,Sherman School District,2011-12,40,0,5,95
270,Side By Side Charter School District,2011-12,20,0,30,70
128,Simsbury School District,2011-12,225,1.3,16.9,81.8
129,Somers School District,2011-12,100,1,8,91
132,South Windsor School District,2011-12,217,1.4,11.1,87.6
131,Southington School District,2011-12,416,4.1,42.3,53.6
133,Sprague School District,2011-12,34,20.6,29.4,50
134,Stafford School District,2011-12,130,1.5,16.9,81.5
135,Stamford School District,2011-12,1393,8.3,34.5,57.2
136,Sterling School District,2011-12,37,8.1,40.5,51.4
137,Stonington School District,2011-12,150,11.3,21.3,67.3
138,Stratford School District,2011-12,532,10.9,32.3,56.8
139,Suffield School District,2011-12,138,0,22.5,77.5
140,Thomaston School District,2011-12,68,2.9,22.1,75
141,Thompson School District,2011-12,76,6.6,69.7,23.7
142,Tolland School District,2011-12,168,11.9,50,38.1
143,Torrington School District,2011-12,361,10.5,47.4,42.1
144,Trumbull School District,2011-12,415,8.4,36.1,55.4
146,Vernon School District,2011-12,285,23.2,41.4,35.4
147,Voluntown School District,2011-12,34,0,17.6,82.4
148,Wallingford School District,2011-12,357,9,37,54.1
151,Waterbury School District,2011-12,1594,20.1,54.1,25.8
152,Waterford School District,2011-12,113,8,64.6,27.4
153,Watertown School District,2011-12,198,2,32.3,65.7
155,West Hartford School District,2011-12,699,9,44.3,46.6
156,West Haven School District,2011-12,493,18.3,45.2,36.5
154,Westbrook School District,2011-12,53,1.9,50.9,47.2
157,Weston School District,2011-12,161,3.7,39.8,56.5
158,Westport School District,2011-12,354,7.1,46.9,46
159,Wethersfield School District,2011-12,207,5.3,54.6,40.1
160,Willington School District,2011-12,47,0,17,83
161,Wilton School District,2011-12,272,1.5,5.9,92.6
162,Winchester School District,2011-12,82,9.8,79.3,11
163,Windham School District,2011-12,276,21.7,43.1,35.1
165,Windsor Locks School District,2011-12,107,1.9,64.5,33.6
164,Windsor School District,2011-12,201,11.9,45.8,42.3
166,Wolcott School District,2011-12,133,7.5,40.6,51.9
167,Woodbridge School District,2011-12,94,26.6,63.8,9.6
169,Woodstock School District,2011-12,73,2.7,21.9,75.3
