,,Creative Skills (%),,,,,
DistrictName,Number of Students Tested,Level 1,Level 2,Level 3,,,
Westport School District,363,5.2,38.3,56.5,,,
Wethersfield School District,256,5.1,37.1,57.8,,,
Willington School District,52,9.6,65.4,25.0,,,
Wilton School District,244,3.7,8.2,88.1,,,
Windham School District,314,9.9,53.5,36.6,,,
Windsor School District,214,4.7,41.6,53.7,,,
Windsor Locks School District,132,2.3,43.2,54.5,,,
Wolcott School District,151,6.0,17.2,76.8,,,
Woodstock School District,72,11.1,18.1,70.8,,,
Regional School District 06,51,7.8,13.7,78.4,,,
Regional School District 10,81,0.0,9.9,90.1,,,
Regional School District 12,36,0.0,25.0,75.0,,,
Regional School District 13,123,4.1,30.9,65.0,,,
Regional School District 15,222,2.3,25.2,72.5,,,
Regional School District 16,170,3.5,45.9,50.6,,,
Regional School District 17,126,0.8,10.3,88.9,,,
Regional School District 18,81,3.7,18.5,77.8,,,
Capitol Region Education Council,463,9.3,32.2,58.5,,,
Cooperative Educational Services,53,0.0,5.7,94.3,,,
Learn,158,3.8,34.2,62.0,,,
Jumoke Academy District,45,2.2,22.2,75.6,,,
Integrated Day Charter School District,33,12.1,21.2,66.7,,,
Side By Side Charter School District,22,0.0,18.2,81.8,,,
Amistad Academy District,92,1.1,17.4,81.5,,,
Bridgeport Achievement First District,89,38.2,60.7,1.1,,,
Achievement First Hartford Academy Inc. District,89,7.9,77.5,14.6,,,
Elm City College Preparatory School District,62,14.5,64.5,21.0,,,
Statewide,37447,10.5,39.6,49.9,,,
