District ID,District Name,School Year,Number of Students Tested,Personal/Social Skills (%) Level 1,Personal/Social Skills (%) Level 2,Personal/Social Skills (%) Level 3
216,Regional School District 16,2010-11,186,10.2,39.8,50
217,Regional School District 17,2010-11,188,9.6,28.2,62.2
218,Regional School District 18,2010-11,100,7,27,66
118,Ridgefield School District,2010-11,349,6.3,18.3,75.4
119,Rocky Hill School District,2010-11,156,7.1,28.8,64.1
121,Salem School District,2010-11,51,7.8,17.6,74.5
122,Salisbury School District,2010-11,25,0,28,72
123,Scotland School District,2010-11,20,20,50,30
124,Seymour School District,2010-11,171,13.5,36.3,50.3
125,Sharon School District,2010-11,17,23.5,64.7,11.8
126,Shelton School District,2010-11,313,19.2,55.9,24.9
127,Sherman School District,2010-11,29,0,20.7,79.3
270,Side By Side Community School District,2010-11,20,15,45,40
128,Simsbury School District,2010-11,241,3.7,15.4,80.9
129,Somers School District,2010-11,100,5,27,68
132,South Windsor School District,2010-11,227,10.1,26,63.9
131,Southington School District,2010-11,478,10,73.4,16.5
133,Sprague School District,2010-11,40,42.5,37.5,20
134,Stafford School District,2010-11,124,8.9,23.4,67.7
135,Stamford School District,2010-11,1282,13.8,39.1,47.1
136,Sterling School District,2010-11,53,9.4,28.3,62.3
137,Stonington School District,2010-11,149,18.1,63.8,18.1
138,Stratford School District,2010-11,461,12.6,31.5,56
139,Suffield School District,2010-11,117,16.2,54.7,29.1
140,Thomaston School District,2010-11,70,4.3,42.9,52.9
141,Thompson School District,2010-11,87,8,47.1,44.8
142,Tolland School District,2010-11,191,12.6,52.9,34.6
143,Torrington School District,2010-11,393,18.8,38.2,43
144,Trumbull School District,2010-11,402,9.7,39.3,51
145,Union School District,2010-11,7,14.3,85.7,0
146,Vernon School District,2010-11,249,19.3,36.5,44.2
147,Voluntown School District,2010-11,32,0,12.5,87.5
148,Wallingford School District,2010-11,392,10.2,36.2,53.6
151,Waterbury School District,2010-11,1578,23.2,43.9,32.9
152,Waterford School District,2010-11,119,6.7,45.4,47.9
153,Watertown School District,2010-11,177,13,43.5,43.5
155,West Hartford School District,2010-11,695,11.1,44,44.9
156,West Haven School District,2010-11,505,15.6,43.8,40.6
154,Westbrook School District,2010-11,66,15.2,39.4,45.5
157,Weston School District,2010-11,22,13.6,4.5,81.8
158,Westport School District,2010-11,392,16.6,43.1,40.3
159,Wethersfield School District,2010-11,242,15.3,49.6,35.1
160,Willington School District,2010-11,33,18.2,15.2,66.7
161,Wilton School District,2010-11,286,2.8,24.5,72.7
162,Winchester School District,2010-11,19,36.8,31.6,31.6
163,Windham School District,2010-11,264,19.3,53.4,27.3
165,Windsor Locks School District,2010-11,136,17.6,51.5,30.9
164,Windsor School District,2010-11,194,18.6,41.2,40.2
166,Wolcott School District,2010-11,166,9,48.2,42.8
167,Woodbridge School District,2010-11,85,43.5,50.6,5.9
169,Woodstock School District,2010-11,96,3.1,27.1,69.8
,Statewide,2010-11,35603,15.41714181,40.16124203,44.42159369
