District ID,District Name,School Year,Number of Students Tested,Physical/Motor Skills (%) Level 1,Physical/Motor Skills (%) Level 2,Physical/Motor Skills (%) Level 3
096,New Milford School District,2011-12,310,9,36.8,54.2
094,Newington School District,2011-12,300,7.7,41,51.3
097,Newtown School District,2011-12,272,2.6,23.5,73.9
098,Norfolk School District,2011-12,20,5,75,20
099,North Branford School District,2011-12,143,2.8,24.5,72.7
100,North Canaan School District,2011-12,28,7.1,25,67.9
101,North Haven School District,2011-12,207,5.8,41.5,52.7
102,North Stonington School District,2011-12,45,0,4.4,95.6
103,Norwalk School District,2011-12,948,12.3,46.8,40.8
104,Norwich School District,2011-12,367,15.5,59.9,24.5
106,Old Saybrook School District,2011-12,82,4.9,13.4,81.7
107,Orange School District,2011-12,146,3.4,12.3,84.2
108,Oxford School District,2011-12,132,3,6.8,90.2
110,Plainville School District,2011-12,157,21,49.7,29.3
111,Plymouth School District,2011-12,104,4.8,46.2,49
112,Pomfret School District,2011-12,30,0,60,40
113,Portland School District,2011-12,81,12.3,71.6,16
114,Preston School District,2011-12,37,21.6,37.8,40.5
116,Putnam School District,2011-12,92,20.7,22.8,56.5
117,Redding School District,2011-12,84,7.1,40.5,52.4
206,Regional School District 06,2011-12,34,2.9,26.5,70.6
210,Regional School District 10,2011-12,154,8.4,31.8,59.7
212,Regional School District 12,2011-12,51,5.9,47.1,47.1
213,Regional School District 13,2011-12,101,4,43.6,52.5
214,Regional School District 14,2011-12,101,6.9,33.7,59.4
215,Regional School District 15,2011-12,250,4.4,38.4,57.2
216,Regional School District 16,2011-12,179,3.9,55.3,40.8
217,Regional School District 17,2011-12,165,4.2,39.4,56.4
218,Regional School District 18,2011-12,83,3.6,24.1,72.3
118,Ridgefield School District,2011-12,270,3.7,11.9,84.4
119,Rocky Hill School District,2011-12,149,7.4,24.2,68.5
121,Salem School District,2011-12,37,5.4,10.8,83.8
122,Salisbury School District,2011-12,34,17.6,14.7,67.6
123,Scotland School District,2011-12,20,10,60,30
124,Seymour School District,2011-12,134,8.2,38.8,53
125,Sharon School District,2011-12,16,37.5,25,37.5
126,Shelton School District,2011-12,329,8.5,34.3,57.1
127,Sherman School District,2011-12,40,0,12.5,87.5
270,Side By Side Charter School District,2011-12,20,0,35,65
128,Simsbury School District,2011-12,225,2.2,18.2,79.6
129,Somers School District,2011-12,100,4,10,86
132,South Windsor School District,2011-12,217,2.3,12.9,84.8
131,Southington School District,2011-12,416,5,42.1,52.9
133,Sprague School District,2011-12,34,14.7,26.5,58.8
134,Stafford School District,2011-12,130,2.3,13.1,84.6
135,Stamford School District,2011-12,1393,7.3,34.8,57.9
136,Sterling School District,2011-12,37,5.4,37.8,56.8
137,Stonington School District,2011-12,150,10.7,26,63.3
138,Stratford School District,2011-12,532,9.4,29.9,60.7
139,Suffield School District,2011-12,138,5.1,34.1,60.9
140,Thomaston School District,2011-12,68,2.9,25,72.1
141,Thompson School District,2011-12,76,10.5,60.5,28.9
142,Tolland School District,2011-12,168,8.3,59.5,32.1
143,Torrington School District,2011-12,361,15,47.1,38
144,Trumbull School District,2011-12,415,6.5,46.5,47
146,Vernon School District,2011-12,285,11.9,43.2,44.9
147,Voluntown School District,2011-12,34,8.8,32.4,58.8
148,Wallingford School District,2011-12,357,7.3,36.7,56
151,Waterbury School District,2011-12,1594,18.4,53,28.6
152,Waterford School District,2011-12,113,11.5,63.7,24.8
153,Watertown School District,2011-12,198,2,33.3,64.6
155,West Hartford School District,2011-12,699,8.7,43.5,47.8
156,West Haven School District,2011-12,493,20.3,50.3,29.4
154,Westbrook School District,2011-12,53,11.3,34,54.7
157,Weston School District,2011-12,161,4.3,29.2,66.5
158,Westport School District,2011-12,354,7.9,44.4,47.7
159,Wethersfield School District,2011-12,207,9.7,54.6,35.7
160,Willington School District,2011-12,47,2.1,23.4,74.5
161,Wilton School District,2011-12,272,1.8,7,91.2
162,Winchester School District,2011-12,82,14.6,75.6,9.8
163,Windham School District,2011-12,276,17.4,51.1,31.5
165,Windsor Locks School District,2011-12,107,9.3,36.4,54.2
164,Windsor School District,2011-12,201,9,42.3,48.8
166,Wolcott School District,2011-12,133,11.3,31.6,57.1
167,Woodbridge School District,2011-12,94,17,74.5,8.5
169,Woodstock School District,2011-12,73,6.8,16.4,76.7
