District ID,District Name,School Year,Number of Students Tested,Literacy Skills (%) Level 1,Literacy Skills (%) Level 2,Literacy Skills (%) Level 3
288,Achievement First Hartford Academy Inc.,2009-10,87,6.9,19.5,73.6
279,Amistad Academy District,2009-10,82,11,23.2,65.9
1,Andover School District,2009-10,45,17.8,40,42.2
2,Ansonia School District,2009-10,177,27.7,40.1,32.2
244,Area Cooperative Educational Services,2009-10,58,10.3,19,70.7
3,Ashford School District,2009-10,31,19.4,32.3,48.4
4,Avon School District,2009-10,204,6.9,46.6,46.6
5,Barkhamsted School District,2009-10,42,11.9,23.8,64.3
7,Berlin School District,2009-10,181,12.2,29.8,58
8,Bethany School District,2009-10,58,17.2,41.4,41.4
9,Bethel School District,2009-10,169,12.4,34.3,53.3
11,Bloomfield School District,2009-10,150,34,41.3,24.7
12,Bolton School District,2009-10,53,20.8,32.1,47.2
13,Bozrah School District,2009-10,24,25,33.3,41.7
14,Branford School District,2009-10,204,18.1,44.6,37.3
15,Bridgeport School District,2009-10,1705,30.8,42.5,26.7
17,Bristol School District,2009-10,574,23.3,40.1,36.6
18,Brookfield School District,2009-10,171,21.6,39.8,38.6
19,Brooklyn School District,2009-10,67,34.3,35.8,29.9
21,Canaan School District,2009-10,14,21.4,50,28.6
22,Canterbury School District,2009-10,38,28.9,31.6,39.5
23,Canton School District,2009-10,122,13.1,21.3,65.6
241,Capitol Region Education Council,2009-10,257,17.9,31.9,50.2
24,Chaplin School District,2009-10,18,11.1,66.7,22.2
287,Charter School for Young Children on Asylum Hill,2009-10,46,19.6,43.5,37
25,Cheshire School District,2009-10,313,1.6,14.1,84.3
26,Chester School District,2009-10,34,14.7,76.5,8.8
27,Clinton School District,2009-10,147,22.4,47.6,29.9
28,Colchester School District,2009-10,237,25.7,39.7,34.6
29,Colebrook School District,2009-10,15,13.3,86.7,0
30,Columbia School District,2009-10,42,31,28.6,40.5
243,Cooperative Educational Services,2009-10,47,2.1,44.7,53.2
31,Cornwall School District,2009-10,8,12.5,25,62.5
32,Coventry School District,2009-10,130,7.7,33.1,59.2
33,Cromwell School District,2009-10,145,9,51,40
34,Danbury School District,2009-10,770,43.8,39.9,16.4
35,Darien School District,2009-10,417,10.3,31.4,58.3
36,Deep River School District,2009-10,56,19.6,62.5,17.9
37,Derby School District,2009-10,133,10.5,43.6,45.9
40,East Granby School District,2009-10,57,8.8,17.5,73.7
41,East Haddam School District,2009-10,85,15.3,44.7,40
42,East Hampton School District,2009-10,152,27.6,50.7,21.7
43,East Hartford School District,2009-10,538,35.5,39.4,25.1
44,East Haven School District,2009-10,236,32.6,43.2,24.2
45,East Lyme School District,2009-10,145,12.4,41.4,46.2
47,East Windsor School District,2009-10,101,40.6,38.6,20.8
39,Eastford School District,2009-10,15,6.7,33.3,60
46,Easton School District,2009-10,90,20,55.6,24.4
48,Ellington School District,2009-10,206,10.2,18.4,71.4
49,Enfield School District,2009-10,431,20.6,47.8,31.6
50,Essex School District,2009-10,83,13.3,50.6,36.1
51,Fairfield School District,2009-10,719,12.7,42,45.3
52,Farmington School District,2009-10,278,9.7,26.6,63.7
53,Franklin School District,2009-10,17,17.6,52.9,29.4
54,Glastonbury School District,2009-10,425,14.6,45.6,39.8
56,Granby School District,2009-10,152,5.3,25,69.7
58,Griswold School District,2009-10,113,31,48.7,20.4
59,Groton School District,2009-10,468,39.7,38.9,21.4
60,Guilford School District,2009-10,247,8.5,27.1,64.4
62,Hamden School District,2009-10,426,24.6,48.8,26.5
63,Hampton School District,2009-10,15,46.7,13.3,40
64,Hartford School District,2009-10,1669,28.8,47,24.3
65,Hartland School District,2009-10,30,20,66.7,13.3
67,Hebron School District,2009-10,120,6.7,30,63.3
286,Highville Charter School District,2009-10,39,2.6,23.1,74.4
264,Integrated Day Charter School District,2009-10,32,18.8,31.3,50
261,Jumoke Academy District,2009-10,44,9.1,38.6,52.3
68,Kent School District,2009-10,36,19.4,33.3,47.2
69,Killingly School District,2009-10,192,27.6,44.8,27.6
245,Learn,2009-10,245,17.6,39.2,43.3
71,Lebanon School District,2009-10,78,21.8,52.6,25.6
72,Ledyard School District,2009-10,167,31.7,46.1,22.2
73,Lisbon School District,2009-10,41,9.8,22,68.3
74,Litchfield School District,2009-10,75,42.7,46.7,10.7
76,Madison School District,2009-10,168,5.4,38.7,56
77,Manchester School District,2009-10,550,31.6,48.4,20
78,Mansfield School District,2009-10,115,13,33.9,53
79,Marlborough School District,2009-10,81,13.6,43.2,43.2
80,Meriden School District,2009-10,640,33,45.2,21.9
84,Milford School District,2009-10,477,25.8,41.9,32.3
85,Monroe School District,2009-10,245,17.6,51.4,31
86,Montville School District,2009-10,162,20.4,33.3,46.3
88,Naugatuck School District,2009-10,339,15.6,51.3,33
280,"New Beginnings Inc., Family Academy District",2009-10,42,26.2,59.5,14.3
89,New Britain School District,2009-10,856,38.7,46.6,14.7
90,New Canaan School District,2009-10,258,27.9,43,29.1
91,New Fairfield School District,2009-10,188,11.7,34,54.3
92,New Hartford School District,2009-10,74,4.1,51.4,44.6
93,New Haven School District,2009-10,1542,28.7,42.4,28.9
95,New London School District,2009-10,192,35.9,43.8,20.3
96,New Milford School District,2009-10,323,17,39.3,43.7
94,Newington School District,2009-10,321,20.9,38.3,40.8
97,Newtown School District,2009-10,290,12.8,27.2,60
98,Norfolk School District,2009-10,13,23.1,76.9,0
99,North Branford School District,2009-10,131,16,29.8,54.2
100,North Canaan School District,2009-10,39,25.6,30.8,43.6
101,North Haven School District,2009-10,251,26.7,46.2,27.1
102,North Stonington School District,2009-10,66,16.7,63.6,19.7
103,Norwalk School District,2009-10,953,26.2,39.7,34.1
104,Norwich School District,2009-10,387,33.3,36.7,30
106,Old Saybrook School District,2009-10,102,12.7,25.5,61.8
107,Orange School District,2009-10,161,1.2,12.4,86.3
108,Oxford School District,2009-10,176,6.8,19.3,73.9
109,Plainfield School District,2009-10,181,33.7,55.8,10.5
110,Plainville School District,2009-10,167,24,55.7,20.4
111,Plymouth School District,2009-10,105,18.1,42.9,39
112,Pomfret School District,2009-10,44,11.4,38.6,50
113,Portland School District,2009-10,108,13.9,69.4,16.7
114,Preston School District,2009-10,36,8.3,11.1,80.6
116,Putnam School District,2009-10,105,27.6,36.2,36.2
117,Redding School District,2009-10,115,16.5,33,50.4
206,Regional School District 06,2009-10,66,22.7,45.5,31.8
210,Regional School District 10,2009-10,192,10.9,62,27.1
212,Regional School District 12,2009-10,48,6.3,37.5,56.3
213,Regional School District 13,2009-10,118,13.6,33.9,52.5
214,Regional School District 14,2009-10,108,7.4,38.9,53.7
215,Regional School District 15,2009-10,305,15.1,50.2,34.8
216,Regional School District 16,2009-10,199,19.1,53.3,27.6
217,Regional School District 17,2009-10,175,7.4,27.4,65.1
218,Regional School District 18,2009-10,113,16.8,45.1,38.1
118,Ridgefield School District,2009-10,272,18.8,27.9,53.3
119,Rocky Hill School District,2009-10,184,15.8,30.4,53.8
121,Salem School District,2009-10,30,26.7,36.7,36.7
122,Salisbury School District,2009-10,37,18.9,32.4,48.6
124,Seymour School District,2009-10,147,15,41.5,43.5
