,,Numeracy Skills (%),,,,,
DistrictName,Number of Students Tested,Level 1,Level 2,Level 3,,,
Waterford School District,120,16.7,34.2,49.2,,,
Watertown School District,209,8.6,52.6,38.8,,,
Westbrook School District,43,14.0,37.2,48.8,,,
West Hartford School District,704,15.1,43.3,41.6,,,
West Haven School District,489,36.6,45.0,18.4,,,
Weston School District,116,2.6,18.1,79.3,,,
Westport School District,363,8.3,44.4,47.4,,,
Wethersfield School District,256,11.3,39.1,49.6,,,
Willington School District,52,19.2,61.5,19.2,,,
Wilton School District,244,3.7,11.9,84.4,,,
Windham School District,314,28.0,45.5,26.4,,,
Windsor School District,214,16.8,42.1,41.1,,,
Windsor Locks School District,132,9.8,43.9,46.2,,,
Wolcott School District,151,7.3,29.8,62.9,,,
Woodstock School District,72,9.7,20.8,69.4,,,
Regional School District 06,51,13.7,33.3,52.9,,,
Regional School District 10,81,2.5,24.7,72.8,,,
Regional School District 12,36,5.6,36.1,58.3,,,
Regional School District 13,123,12.2,48.8,39.0,,,
Regional School District 15,222,9.5,37.8,52.7,,,
Regional School District 16,170,10.0,62.4,27.6,,,
Regional School District 17,126,3.2,11.9,84.9,,,
Regional School District 18,81,12.3,28.4,59.3,,,
Capitol Region Education Council,463,13.4,40.6,46.0,,,
Cooperative Educational Services,53,3.8,34.0,62.3,,,
Learn,158,9.5,41.8,48.7,,,
Jumoke Academy District,45,8.9,77.8,13.3,,,
Integrated Day Charter School District,33,6.1,30.3,63.6,,,
Side By Side Charter School District,22,13.6,31.8,54.5,,,
Amistad Academy District,92,5.4,21.7,72.8,,,
Bridgeport Achievement First District,89,73.0,27.0,,,,
Achievement First Hartford Academy Inc. District,89,13.5,59.6,27.0,,,
Elm City College Preparatory School District,62,17.7,61.3,21.0,,,
Statewide,37447,19.49154805,40.78030283,39.72814912,,,
