District ID,DistrictName,School Year,Number of Students Tested,Physical/Motor Skills (%) Level 1 ,Physical/Motor Skills (%) Level 2,Physical/Motor Skills (%) Level 3
,Stafford School District,2013-2014,,6.7,29.8,63.5
,Stamford School District,2013-2014,,10.1,39.4,50.5
,Sterling School District,2013-2014,,14.9,59.6,25.5
,Stonington School District,2013-2014,,4.4,34.8,60.8
,Stratford School District,2013-2014,,7.1,32.6,60.3
,Suffield School District,2013-2014,,9.2,31.1,59.7
,Thomaston School District,2013-2014,,1.6,12.7,85.7
,Thompson School District,2013-2014,,8.8,32.5,58.8
,Tolland School District,2013-2014,,5.0,58.5,36.5
,Torrington School District,2013-2014,,14.8,42.0,43.3
,Trumbull School District,2013-2014,,11.7,65.4,22.9
,Vernon School District,2013-2014,,14.4,28.9,56.7
,Voluntown School District,2013-2014,,0.0,29.6,70.4
,Wallingford School District,2013-2014,,6.6,31.7,61.7
,Waterbury School District,2013-2014,,15.7,50.6,33.6
,Waterford School District,2013-2014,,10.8,31.7,57.5
,Watertown School District,2013-2014,,8.1,49.8,42.1
,Westbrook School District,2013-2014,,2.3,34.9,62.8
,West Hartford School District,2013-2014,,8.1,49.6,42.3
,West Haven School District,2013-2014,,11.9,63.0,25.2
,Weston School District,2013-2014,,1.7,3.4,94.8
,Westport School District,2013-2014,,3.9,40.2,55.9
,Wethersfield School District,2013-2014,,3.1,34.0,62.9
,Willington School District,2013-2014,,11.5,59.6,28.8
,Wilton School District,2013-2014,,3.7,8.2,88.1
,Windham School District,2013-2014,,9.6,49.0,41.4
,Windsor School District,2013-2014,,14.0,42.5,43.5
,Windsor Locks School District,2013-2014,,3.0,40.9,56.1
,Wolcott School District,2013-2014,,3.3,19.2,77.5
,Woodstock School District,2013-2014,,9.7,26.4,63.9
,Regional School District 06,2013-2014,,5.9,17.6,76.5
,Regional School District 10,2013-2014,,0.0,21.0,79.0
,Regional School District 12,2013-2014,,2.8,25.0,72.2
,Regional School District 13,2013-2014,,4.1,39.8,56.1
,Regional School District 15,2013-2014,,2.7,28.8,68.5
,Regional School District 16,2013-2014,,5.3,45.9,48.8
,Regional School District 17,2013-2014,,0.8,9.5,89.7
,Regional School District 18,2013-2014,,6.2,29.6,64.2
,Capitol Region Education Council,2013-2014,,8.9,34.1,57.0
,Cooperative Educational Services,2013-2014,,1.9,11.3,86.8
,Learn,2013-2014,,2.5,27.2,70.3
,Jumoke Academy District,2013-2014,,6.7,26.7,66.7
,Integrated Day Charter School District,2013-2014,,3.0,24.2,72.7
,Side By Side Charter School District,2013-2014,,4.5,13.6,81.8
,Amistad Academy District,2013-2014,,1.1,22.8,76.1
,Bridgeport Achievement First District,2013-2014,,41.6,58.4,0.0
,Achievement First Hartford Academy Inc. District,2013-2014,,9.0,73.0,18.0
,Elm City College Preparatory School District,2013-2014,,9.7,33.9,56.5
