DistrictID,District,School Year,Number of Students Tested,Creative/Aesthetic Skills (%) Level 1,Creative/Aesthetic Skills (%) Level 2,Creative/Aesthetic Skills (%) Level 3
,Shelton School District,2013-14,,13.9,53,33.1
,Sherman School District,2013-14,,4,20,76
,Simsbury School District,2013-14,,2.6,21.3,76.1
,Somers School District,2013-14,,8.5,32.4,59.2
,Southington School District,2013-14,,8,51.3,40.6
,South Windsor School District,2013-14,,9.2,32.2,58.6
,Sprague School District,2013-14,,15.2,30.3,54.5
,Stafford School District,2013-14,,6.5,35,58.5
,Stamford School District,2013-14,,11,41,48
,Sterling School District,2013-14,,20.8,47.9,31.3
,Stonington School District,2013-14,,3.9,25.2,70.9
,Stratford School District,2013-14,,7.5,39.8,52.6
,Suffield School District,2013-14,,0,23.3,76.7
,Thomaston School District,2013-14,,3.6,26.8,69.6
,Thompson School District,2013-14,,16.1,66.1,17.7
,Tolland School District,2013-14,,19.7,54.2,26.1
,Torrington School District,2013-14,,23.5,36.5,40
,Trumbull School District,2013-14,,5.9,42.5,51.6
,Union School District,2013-14,,0,12.5,87.5
,Vernon School District,2013-14,,8.2,34,57.8
,Voluntown School District,2013-14,,0,12,88
,Wallingford School District,2013-14,,6.1,39.5,54.5
,Waterbury School District,2013-14,,21.1,47.7,31.2
,Waterford School District,2013-14,,5.5,38.6,55.9
,Watertown School District,2013-14,,6.2,46.3,47.5
,Westbrook School District,2013-14,,0,34,66
,West Hartford School District,2013-14,,9.1,44.5,46.4
,West Haven School District,2013-14,,10.9,52.7,36.4
,Weston School District,2013-14,,4.5,46.2,49.2
,Westport School District,2013-14,,9.6,47.1,43.3
,Wethersfield School District,2013-14,,8.3,36.5,55.2
,Willington School District,2013-14,,2.4,56.1,41.5
,Wilton School District,2013-14,,1.2,16.1,82.6
,Winchester School District,2013-14,,14.9,37.2,47.9
,Windham School District,2013-14,,12.9,47.2,39.9
,Windsor School District,2013-14,,7.7,32.2,60.1
,Windsor Locks School District,2013-14,,0.9,64.2,34.9
,Wolcott School District,2013-14,,6.3,44.1,49.6
,Woodbridge School District,2013-14,,25,66.7,8.3
,Woodstock School District,2013-14,,7.5,33.8,58.8
,Regional School District 01,2013-14,,6.3,32.5,61.3
,Regional School District 04,2013-14,,12.4,43,44.6
,Regional School District 06,2013-14,,2.4,41.5,56.1
,Regional School District 10,2013-14,,11.4,33.7,54.8
,Regional School District 12,2013-14,,3,60.6,36.4
,Regional School District 13,2013-14,,3.4,36,60.7
,Regional School District 14,2013-14,,30.5,41.9,27.6
,Regional School District 15,2013-14,,3.4,44.4,52.2
,Regional School District 16,2013-14,,4.7,62.8,32.4
,Regional School District 17,2013-14,,3.5,20.3,76.2
,Regional School District 18,2013-14,,1.3,14.3,84.4
,Capitol Region Education Council,2013-14,,6.3,33.5,60.1
,Cooperative Educational Services,2013-14,,0,20,80
,Area Cooperative Educational Services,2013-14,,9.5,31.1,59.5
,Learn,2013-14,,6.1,39,54.9
,Jumoke Academy District,2013-14,,7.5,25.4,67.2
,Integrated Day Charter School District,2013-14,,0,23.3,76.7
,Side By Side Charter School District,2013-14,,0,9.1,90.9
,Amistad Academy District,2013-14,,0,5.6,94.4
,New Beginnings Inc. Family Academy District,2013-14,,2.4,53.7,43.9
,Bridgeport Achievement First District,2013-14,,44.4,53.3,2.2
,Achievement First Hartford Academy Inc. District,2013-14,,6.7,47.8,45.6
,Elm City College Preparatory School District,2013-14,,1.6,4.8,93.5
