DistrictID,District,School Year,Number of Students Tested,Creative/Aesthetic Skills (%) Level 1,Creative/Aesthetic Skills (%) Level 2,Creative/Aesthetic Skills (%) Level 3
,Andover School District,2013-14,,10.3,41.4,48.3
,Ansonia School District,2013-14,,15,41.3,43.8
,Ashford School District,2013-14,,0,14.3,85.7
,Avon School District,2013-14,,4.8,25.4,69.8
,Barkhamsted School District,2013-14,,0,71.4,28.6
,Berlin School District,2013-14,,25.4,54.4,20.2
,Bethany School District,2013-14,,6.7,60,33.3
,Bethel School District,2013-14,,6.9,32.7,60.4
,Bloomfield School District,2013-14,,23,27.9,49.1
,Bolton School District,2013-14,,8.3,39.6,52.1
,Bozrah School District,2013-14,,4.8,42.9,52.4
,Branford School District,2013-14,,9.9,60.1,30
,Bridgeport School District,2013-14,,15.8,42.3,41.9
,Bristol School District,2013-14,,14.3,33.3,52.4
,Brookfield School District,2013-14,,8.3,35.3,56.4
,Brooklyn School District,2013-14,,5.6,38.9,55.6
,Canterbury School District,2013-14,,3,48.5,48.5
,Canton School District,2013-14,,4,60.6,35.4
,Chaplin School District,2013-14,,13,26.1,60.9
,Cheshire School District,2013-14,,4.1,27.6,68.2
,Clinton School District,2013-14,,7.4,52.7,39.9
,Colchester School District,2013-14,,7,48.7,44.3
,Colebrook School District,2013-14,,0,100,0
,Columbia School District,2013-14,,9.5,35.7,54.8
,Coventry School District,2013-14,,13.3,32,54.7
,Cromwell School District,2013-14,,4.9,39.6,55.6
,Danbury School District,2013-14,,29.6,38.2,32.1
,Darien School District,2013-14,,3,17.1,79.9
,Derby School District,2013-14,,4.5,58,37.5
,Eastford School District,2013-14,,9.1,0,90.9
,East Granby School District,2013-14,,0,6.9,93.1
,East Haddam School District,2013-14,,7.5,51.3,41.3
,East Hampton School District,2013-14,,7.2,47.8,44.9
,East Hartford School District,2013-14,,23,46.6,30.4
,East Haven School District,2013-14,,10.5,41.8,47.7
,East Lyme School District,2013-14,,18.6,43,38.4
,Easton School District,2013-14,,8.1,68.9,23
,East Windsor School District,2013-14,,17.6,45.1,37.4
,Ellington School District,2013-14,,0,9.3,90.7
,Enfield School District,2013-14,,8.6,63.1,28.3
,Fairfield School District,2013-14,,9,37.4,53.5
,Farmington School District,2013-14,,6.1,14.7,79.2
,Glastonbury School District,2013-14,,15.6,31.1,53.3
,Granby School District,2013-14,,1.8,11.9,86.2
,Greenwich School District,2013-14,,7.2,27.6,65.2
,Griswold School District,2013-14,,11.6,52.7,35.6
,Groton School District,2013-14,,15.9,44.7,39.4
,Guilford School District,2013-14,,1,33.2,65.8
,Hamden School District,2013-14,,15,46.4,38.6
,Hartford School District,2013-14,,17.5,54.4,28.2
,Hartland School District,2013-14,,0,0,100
,Hebron School District,2013-14,,4.6,25.3,70.1
,Kent School District,2013-14,,0,48,52
,Killingly School District,2013-14,,11.4,51.3,37.3
,Lebanon School District,2013-14,,4.7,53.5,41.9
,Ledyard School District,2013-14,,10.5,39.8,49.7
,Lisbon School District,2013-14,,20,30,50
,Litchfield School District,2013-14,,15.5,58.6,25.9
,Madison School District,2013-14,,3.9,34.6,61.4
,Manchester School District,2013-14,,34.4,43.4,22.2
,Mansfield School District,2013-14,,7.1,48.2,44.6
,Marlborough School District,2013-14,,3.5,10.5,86
,Meriden School District,2013-14,,23.4,50.5,26
,Middletown School District,2013-14,,17.6,46.6,35.8
,Milford School District,2013-14,,2.2,16.7,81.1
,Monroe School District,2013-14,,7.7,40.7,51.5
,Montville School District,2013-14,,5,36.1,58.9
,Naugatuck School District,2013-14,,11.4,39.4,49.2
,New Britain School District,2013-14,,33.1,45.3,21.6
,New Canaan School District,2013-14,,2.2,24.4,73.3
,New Fairfield School District,2013-14,,4.3,32.7,63
,New Hartford School District,2013-14,,0,56.6,43.4
,New Haven School District,2013-14,,14.4,44.7,40.9
,Newington School District,2013-14,,11.2,47.7,41.1
,New London School District,2013-14,,13.6,35.8,50.6
,New Milford School District,2013-14,,8.1,52.8,39.1
,Newtown School District,2013-14,,2.9,22.1,75
,Norfolk School District,2013-14,,0,14.3,85.7
,North Branford School District,2013-14,,16.9,50.8,32.3
,North Canaan School District,2013-14,,0,22.7,77.3
,North Haven School District,2013-14,,12.3,47.7,40
,North Stonington School District,2013-14,,0,5.4,94.6
,Norwalk School District,2013-14,,9.9,55.5,34.5
,Norwich School District,2013-14,,17.6,50.9,31.4
,Old Saybrook School District,2013-14,,13.3,9.3,77.3
,Orange School District,2013-14,,1.9,22.6,75.5
,Oxford School District,2013-14,,6.9,5.2,87.9
,Plainfield School District,2013-14,,39.2,45.3,15.5
,Plainville School District,2013-14,,9.7,39.4,50.9
,Plymouth School District,2013-14,,4.5,53.6,41.8
,Pomfret School District,2013-14,,14.3,32.1,53.6
,Portland School District,2013-14,,5.6,71.1,23.3
,Preston School District,2013-14,,25,55.6,19.4
,Putnam School District,2013-14,,3.8,18.3,77.9
,Redding School District,2013-14,,1.2,46.4,52.4
,Ridgefield School District,2013-14,,1.9,18.1,80
,Rocky Hill School District,2013-14,,6.5,26.1,67.3
,Salem School District,2013-14,,2.4,29.3,68.3
,Seymour School District,2013-14,,7.7,42.3,50
