District ID,District Name,School Year,Number of Students Tested,Physical/Motor Skills (%) Level 1,Physical/Motor Skills (%) Level 2,Physical/Motor Skills (%) Level 3
216,Regional School District 16,2010-11,186,6.5,47.3,46.2
217,Regional School District 17,2010-11,188,6.9,25,68.1
218,Regional School District 18,2010-11,100,5,27,68
118,Ridgefield School District,2010-11,349,4.3,13.8,81.9
119,Rocky Hill School District,2010-11,156,1.9,26.3,71.8
121,Salem School District,2010-11,51,5.9,23.5,70.6
122,Salisbury School District,2010-11,25,4,24,72
123,Scotland School District,2010-11,20,5,10,85
124,Seymour School District,2010-11,171,8.8,36.3,55
125,Sharon School District,2010-11,17,5.9,94.1,0
126,Shelton School District,2010-11,313,23.6,44.4,31.9
127,Sherman School District,2010-11,29,3.4,10.3,86.2
270,Side By Side Community School District,2010-11,20,0,35,65
128,Simsbury School District,2010-11,241,3.7,17,79.3
129,Somers School District,2010-11,100,4,18,78
132,South Windsor School District,2010-11,227,12.8,15.9,71.4
131,Southington School District,2010-11,478,5.6,73.8,20.5
133,Sprague School District,2010-11,40,35,47.5,17.5
134,Stafford School District,2010-11,124,2.4,21,76.6
135,Stamford School District,2010-11,1282,6.9,33.3,59.8
136,Sterling School District,2010-11,53,3.8,20.8,75.5
137,Stonington School District,2010-11,149,10.7,71.1,18.1
138,Stratford School District,2010-11,461,7.2,28,64.9
139,Suffield School District,2010-11,117,9.4,53,37.6
140,Thomaston School District,2010-11,70,4.3,30,65.7
141,Thompson School District,2010-11,87,19.5,34.5,46
142,Tolland School District,2010-11,191,6.3,39.3,54.5
143,Torrington School District,2010-11,393,10.4,40.7,48.9
144,Trumbull School District,2010-11,402,5.2,48.8,46
145,Union School District,2010-11,7,14.3,42.9,42.9
146,Vernon School District,2010-11,249,12.4,47,40.6
147,Voluntown School District,2010-11,32,0,9.4,90.6
148,Wallingford School District,2010-11,392,6.6,30.6,62.8
151,Waterbury School District,2010-11,1578,18.1,46.8,35.1
152,Waterford School District,2010-11,119,2.5,40.3,57.1
153,Watertown School District,2010-11,177,9,41.8,49.2
155,West Hartford School District,2010-11,695,8.6,41.3,50.1
156,West Haven School District,2010-11,505,13.5,53.9,32.7
154,Westbrook School District,2010-11,66,7.6,53,39.4
157,Weston School District,2010-11,22,9.1,4.5,86.4
158,Westport School District,2010-11,392,9.9,40.1,50
159,Wethersfield School District,2010-11,242,10.7,36.8,52.5
160,Willington School District,2010-11,33,6.1,3,90.9
161,Wilton School District,2010-11,286,1.4,15.7,82.9
162,Winchester School District,2010-11,19,15.8,63.2,21.1
163,Windham School District,2010-11,264,13.6,51.9,34.5
165,Windsor Locks School District,2010-11,136,11,41.2,47.8
164,Windsor School District,2010-11,194,16.5,34,49.5
166,Wolcott School District,2010-11,166,9,21.7,69.3
167,Woodbridge School District,2010-11,85,23.5,61.2,15.3
169,Woodstock School District,2010-11,96,0,16.7,83.3
,Statewide,2010-11,35603,10.52698649,38.62500632,50.84551302
