District ID,District Name,School Year,Number of Students Tested,Creative/Aesthetic Skills (%) Level 1,Creative/Aesthetic Skills (%) Level 2,Creative/Aesthetic Skills (%) Level 3
135,Stamford School District,2008-09,1229,15.1,37.6,47.3
136,Sterling School District,2008-09,66,12.1,22.7,65.2
137,Stonington School District,2008-09,154,7.1,34.4,58.4
138,Stratford School District,2008-09,546,9.2,35.7,55.1
139,Suffield School District,2008-09,108,0,20.4,79.6
140,Thomaston School District,2008-09,93,1.1,19.4,79.6
141,Thompson School District,2008-09,83,9.6,36.1,54.2
142,Tolland School District,2008-09,211,10.9,57.3,31.8
143,Torrington School District,2008-09,349,5.2,28.4,66.5
144,Trumbull School District,2008-09,470,5.5,38.5,56
145,Union School District,2008-09,13,7.7,84.6,7.7
146,Vernon School District,2008-09,265,12.5,34.7,52.8
147,Voluntown School District,2008-09,28,0,3.6,96.4
148,Wallingford School District,2008-09,438,4.1,29.5,66.4
151,Waterbury School District,2008-09,1591,27.5,48.5,23.9
152,Waterford School District,2008-09,107,2.8,57,40.2
153,Watertown School District,2008-09,207,16.9,59.4,23.7
155,West Hartford School District,2008-09,760,12.4,47.4,40.3
156,West Haven School District,2008-09,472,14.8,33.1,52.1
154,Westbrook School District,2008-09,65,3.1,53.8,43.1
157,Weston School District,2008-09,166,2.4,39.8,57.8
158,Westport School District,2008-09,407,4.2,43.7,52.1
159,Wethersfield School District,2008-09,250,15.6,43.6,40.8
160,Willington School District,2008-09,56,1.8,58.9,39.3
161,Wilton School District,2008-09,325,3.1,14.2,82.8
162,Winchester School District,2008-09,91,22,52.7,25.3
163,Windham School District,2008-09,290,21.7,41.4,36.9
165,Windsor Locks School District,2008-09,134,12.7,37.3,50
164,Windsor School District,2008-09,193,8.8,34.7,56.5
166,Wolcott School District,2008-09,160,9.4,37.5,53.1
167,Woodbridge School District,2008-09,99,12.1,49.5,38.4
169,Woodstock School District,2008-09,88,6.8,21.6,71.6
,Statewide,,39738,11.75472092,40.68780764,47.55589864
