DistrictID,District,School Year,Number of Students Tested,Numeracy Skills (%) Level 1,Numeracy Skills (%) Level 2,Numeracy Skills (%) Level 3
,Watertown School District,2013-14,,11.9,41.2,46.9
,Westbrook School District,2013-14,,10.6,21.3,68.1
,West Hartford School District,2013-14,,15.8,43.9,40.3
,West Haven School District,2013-14,,31.1,42.4,26.4
,Weston School District,2013-14,,12.9,56.8,30.3
,Westport School District,2013-14,,17.1,53.2,29.8
,Wethersfield School District,2013-14,,11.9,62.3,25.8
,Willington School District,2013-14,,12.2,63.4,24.4
,Wilton School District,2013-14,,1.2,17.8,81
,Winchester School District,2013-14,,33,41.5,25.5
,Windham School District,2013-14,,32.2,35.7,32.2
,Windsor School District,2013-14,,19.7,33.2,47.1
,Windsor Locks School District,2013-14,,18.3,51.4,30.3
,Wolcott School District,2013-14,,20.5,27.6,52
,Woodbridge School District,2013-14,,27.4,56,16.7
,Woodstock School District,2013-14,,17.5,27.5,55
,Regional School District 01,2013-14,,12.5,33.8,53.8
,Regional School District 04,2013-14,,23.1,49.6,27.3
,Regional School District 06,2013-14,,12.2,39,48.8
,Regional School District 10,2013-14,,6.6,35.5,57.8
,Regional School District 12,2013-14,,21.2,39.4,39.4
,Regional School District 13,2013-14,,13.5,52.8,33.7
,Regional School District 14,2013-14,,35.2,59,5.7
,Regional School District 15,2013-14,,11.2,44.8,44
,Regional School District 16,2013-14,,10.1,53.4,36.5
,Regional School District 17,2013-14,,7,22.4,70.6
,Regional School District 18,2013-14,,2.6,41.6,55.8
,Capitol Region Education Council,2013-14,,9.8,36.7,53.5
,Cooperative Educational Services,2013-14,,7.5,17.5,75
,Area Cooperative Educational Services,2013-14,,18.9,36.5,44.6
,Learn,2013-14,,17.9,38.6,43.5
,Jumoke Academy District,2013-14,,11.9,31.3,56.7
,Integrated Day Charter School District,2013-14,,13.3,36.7,50
,Side By Side Charter School District,2013-14,,0,36.4,63.6
,Amistad Academy District,2013-14,,4.4,8.9,86.7
,New Beginnings Inc. Family Academy District,2013-14,,22,46.3,31.7
,Bridgeport Achievement First District,2013-14,,55.6,40,4.4
,Achievement First Hartford Academy Inc. District,2013-14,,20,27.8,52.2
,Elm City College Preparatory School District,2013-14,,3.2,19.4,77.4
