District ID,District Name,School Year,Number of Students Tested,Language Skills (%) Level 1,Language Skills (%) Level 2,Language Skills (%) Level 3
288,Achievement First Hartford Academy Inc.,2009-10,87,8,39.1,52.9
279,Amistad Academy District,2009-10,82,14.6,32.9,52.4
1,Andover School District,2009-10,45,17.8,33.3,48.9
2,Ansonia School District,2009-10,177,27.7,40.1,32.2
244,Area Cooperative Educational Services,2009-10,58,17.2,20.7,62.1
3,Ashford School District,2009-10,31,9.7,25.8,64.5
4,Avon School District,2009-10,204,15.2,40.7,44.1
5,Barkhamsted School District,2009-10,42,2.4,19,78.6
7,Berlin School District,2009-10,181,4.4,43.6,51.9
8,Bethany School District,2009-10,58,12.1,48.3,39.7
9,Bethel School District,2009-10,169,11.2,37.3,51.5
11,Bloomfield School District,2009-10,150,28.7,46,25.3
12,Bolton School District,2009-10,53,11.3,39.6,49.1
13,Bozrah School District,2009-10,24,8.3,33.3,58.3
14,Branford School District,2009-10,204,17.6,46.6,35.8
15,Bridgeport School District,2009-10,1705,32.9,40.3,26.8
17,Bristol School District,2009-10,574,23.5,38.2,38.3
18,Brookfield School District,2009-10,171,16.4,41.5,42.1
19,Brooklyn School District,2009-10,67,22.4,37.3,40.3
21,Canaan School District,2009-10,14,21.4,42.9,35.7
22,Canterbury School District,2009-10,38,15.8,42.1,42.1
23,Canton School District,2009-10,122,7.4,36.9,55.7
241,Capitol Region Education Council,2009-10,257,20.2,37,42.8
24,Chaplin School District,2009-10,18,5.6,55.6,38.9
287,Charter School for Young Children on Asylum Hill,2009-10,46,21.7,37,41.3
25,Cheshire School District,2009-10,313,1.9,11.2,86.9
26,Chester School District,2009-10,34,14.7,79.4,5.9
27,Clinton School District,2009-10,147,24.5,42.9,32.7
28,Colchester School District,2009-10,237,13.9,44.3,41.8
29,Colebrook School District,2009-10,15,40,33.3,26.7
30,Columbia School District,2009-10,42,23.8,35.7,40.5
243,Cooperative Educational Services,2009-10,47,0,27.7,72.3
31,Cornwall School District,2009-10,8,12.5,25,62.5
32,Coventry School District,2009-10,130,10.8,34.6,54.6
33,Cromwell School District,2009-10,145,12.4,42.8,44.8
34,Danbury School District,2009-10,770,45.2,39.5,15.3
35,Darien School District,2009-10,417,7.2,29.3,63.5
36,Deep River School District,2009-10,56,17.9,66.1,16.1
37,Derby School District,2009-10,133,18,46.6,35.3
40,East Granby School District,2009-10,57,12.3,26.3,61.4
41,East Haddam School District,2009-10,85,15.3,40,44.7
42,East Hampton School District,2009-10,152,27.6,44.7,27.6
43,East Hartford School District,2009-10,538,32.9,38.8,28.3
44,East Haven School District,2009-10,236,34.3,36.9,28.8
45,East Lyme School District,2009-10,145,13.8,49,37.2
47,East Windsor School District,2009-10,101,33.7,42.6,23.8
39,Eastford School District,2009-10,15,6.7,46.7,46.7
46,Easton School District,2009-10,90,14.4,58.9,26.7
48,Ellington School District,2009-10,206,6.3,23.3,70.4
49,Enfield School District,2009-10,431,23,38.5,38.5
50,Essex School District,2009-10,83,12,56.6,31.3
51,Fairfield School District,2009-10,719,11.5,42,46.5
52,Farmington School District,2009-10,278,10.8,25.2,64
53,Franklin School District,2009-10,17,17.6,52.9,29.4
54,Glastonbury School District,2009-10,425,17.2,43.5,39.3
56,Granby School District,2009-10,152,6.6,18.4,75
58,Griswold School District,2009-10,113,18.6,48.7,32.7
59,Groton School District,2009-10,468,24.1,50.2,25.6
60,Guilford School District,2009-10,247,8.5,23.9,67.6
62,Hamden School District,2009-10,426,27.9,45.8,26.3
63,Hampton School District,2009-10,15,60,6.7,33.3
64,Hartford School District,2009-10,1669,24.3,47,28.7
65,Hartland School District,2009-10,30,0,43.3,56.7
67,Hebron School District,2009-10,120,6.7,36.7,56.7
286,Highville Charter School District,2009-10,39,7.7,51.3,41
264,Integrated Day Charter School District,2009-10,32,12.5,31.3,56.3
261,Jumoke Academy District,2009-10,44,11.4,36.4,52.3
68,Kent School District,2009-10,36,11.1,33.3,55.6
69,Killingly School District,2009-10,192,24.5,49.5,26
245,Learn,2009-10,245,22.4,35.9,41.6
71,Lebanon School District,2009-10,78,14.1,44.9,41
72,Ledyard School District,2009-10,167,19.8,50.9,29.3
73,Lisbon School District,2009-10,41,9.8,14.6,75.6
74,Litchfield School District,2009-10,75,36,54.7,9.3
76,Madison School District,2009-10,168,3,33.3,63.7
77,Manchester School District,2009-10,550,28.2,49.6,22.2
78,Mansfield School District,2009-10,115,11.3,40,48.7
79,Marlborough School District,2009-10,81,14.8,28.4,56.8
80,Meriden School District,2009-10,640,29.1,44.2,26.7
84,Milford School District,2009-10,477,27.9,38.6,33.5
85,Monroe School District,2009-10,245,17.6,52.7,29.8
86,Montville School District,2009-10,162,22.2,27.2,50.6
88,Naugatuck School District,2009-10,339,23.9,47.5,28.6
280,"New Beginnings Inc., Family Academy District",2009-10,42,28.6,61.9,9.5
89,New Britain School District,2009-10,856,33.8,44.5,21.7
90,New Canaan School District,2009-10,258,20.2,50.4,29.5
91,New Fairfield School District,2009-10,188,10.6,42.6,46.8
92,New Hartford School District,2009-10,74,1.4,51.4,47.3
93,New Haven School District,2009-10,1542,28.9,42.4,28.7
95,New London School District,2009-10,192,33.3,41.1,25.5
96,New Milford School District,2009-10,323,19.8,41.8,38.4
94,Newington School District,2009-10,321,21.2,38.3,40.5
97,Newtown School District,2009-10,290,13.4,24.8,61.7
98,Norfolk School District,2009-10,13,15.4,84.6,0
99,North Branford School District,2009-10,131,18.3,28.2,53.4
100,North Canaan School District,2009-10,39,28.2,38.5,33.3
101,North Haven School District,2009-10,251,23.5,46.2,30.3
102,North Stonington School District,2009-10,66,19.7,69.7,10.6
103,Norwalk School District,2009-10,953,24.9,41.8,33.4
104,Norwich School District,2009-10,387,30.5,40.8,28.7
106,Old Saybrook School District,2009-10,102,16.7,12.7,70.6
107,Orange School District,2009-10,161,1.9,13.7,84.5
108,Oxford School District,2009-10,176,4,18.2,77.8
109,Plainfield School District,2009-10,181,32,46.4,21.5
110,Plainville School District,2009-10,167,21.6,49.1,29.3
111,Plymouth School District,2009-10,105,15.2,50.5,34.3
112,Pomfret School District,2009-10,44,6.8,34.1,59.1
113,Portland School District,2009-10,108,21.3,37,41.7
114,Preston School District,2009-10,36,0,19.4,80.6
116,Putnam School District,2009-10,105,26.7,39,34.3
117,Redding School District,2009-10,115,3.5,29.6,67
206,Regional School District 06,2009-10,66,13.6,28.8,57.6
210,Regional School District 10,2009-10,192,10.9,37.5,51.6
212,Regional School District 12,2009-10,48,0,16.7,83.3
213,Regional School District 13,2009-10,118,12.7,25.4,61.9
214,Regional School District 14,2009-10,108,4.6,25.9,69.4
215,Regional School District 15,2009-10,305,12.8,51.1,36.1
216,Regional School District 16,2009-10,199,18.1,60.8,21.1
217,Regional School District 17,2009-10,175,8.6,28,63.4
218,Regional School District 18,2009-10,113,6.2,46,47.8
118,Ridgefield School District,2009-10,272,22.1,33.8,44.1
119,Rocky Hill School District,2009-10,184,14.1,22.3,63.6
121,Salem School District,2009-10,30,13.3,30,56.7
122,Salisbury School District,2009-10,37,18.9,35.1,45.9
124,Seymour School District,2009-10,147,19.7,37.4,42.9
125,Sharon School District,2009-10,24,12.5,66.7,20.8
126,Shelton School District,2009-10,333,24.9,50.5,24.6
127,Sherman School District,2009-10,38,5.3,15.8,78.9
270,Side By Side Community School District,2009-10,22,13.6,45.5,40.9
128,Simsbury School District,2009-10,270,5.9,17,77
129,Somers School District,2009-10,85,3.5,24.7,71.8
132,South Windsor School District,2009-10,246,8.5,31.7,59.8
131,Southington School District,2009-10,467,26.1,52.5,21.4
133,Sprague School District,2009-10,33,24.2,33.3,42.4
134,Stafford School District,2009-10,111,15.3,39.6,45
135,Stamford School District,2009-10,1293,26.4,40.1,33.5
136,Sterling School District,2009-10,43,9.3,37.2,53.5
137,Stonington School District,2009-10,151,15.2,55,29.8
138,Stratford School District,2009-10,542,19.2,38,42.8
139,Suffield School District,2009-10,159,8.8,28.9,62.3
140,Thomaston School District,2009-10,66,27.3,37.9,34.8
141,Thompson School District,2009-10,95,17.9,54.7,27.4
142,Tolland School District,2009-10,201,10.9,57.7,31.3
143,Torrington School District,2009-10,401,25.4,36.2,38.4
144,Trumbull School District,2009-10,478,16.1,39.7,44.1
145,Union School District,2009-10,6,0,66.7,33.3
146,Vernon School District,2009-10,300,27.7,43.3,29
147,Voluntown School District,2009-10,31,6.5,32.3,61.3
148,Wallingford School District,2009-10,409,18.3,37.4,44.3
151,Waterbury School District,2009-10,1651,38.3,44.3,17.4
152,Waterford School District,2009-10,128,25,47.7,27.3
153,Watertown School District,2009-10,221,15.8,43.4,40.7
155,West Hartford School District,2009-10,791,15,41.6,43.4
156,West Haven School District,2009-10,556,25.7,32.9,41.4
154,Westbrook School District,2009-10,67,17.9,47.8,34.3
157,Weston School District,2009-10,158,10.8,55.7,33.5
158,Westport School District,2009-10,376,17.6,50,32.4
160,Willington School District,2009-10,52,3.8,40.4,55.8
161,Wilton School District,2009-10,271,8.1,25.1,66.8
162,Winchester School District,2009-10,84,42.9,39.3,17.9
163,Windham School District,2009-10,279,34.8,43.4,21.9
165,Windsor Locks School District,2009-10,124,14.5,41.1,44.4
164,Windsor School District,2009-10,172,18,34.3,47.7
166,Wolcott School District,2009-10,155,20.6,43.2,36.1
167,Woodbridge School District,2009-10,95,23.2,51.6,25.3
169,Woodstock School District,2009-10,88,43.2,36.4,20.5
,Statewide,2009-10,37907,22.07025615,40.5217717,37.40581159
